State,State_full,Concern Level,Negative,Positive
AL,ALABAMA,0.886363636,78,10
AK,ALASKA,1,21,0
AS,AMERICAN SAMOA,0.857142857,6,1
AZ,ARIZONA,0.937853107,166,11
AR,ARKANSAS,0.943396226,50,3
CA,CALIFORNIA,0.903010033,1080,116
CO,COLORADO,0.899159664,107,12
CT,CONNECTICUT,0.917525773,89,8
DE,DELAWARE,0.935483871,58,4
DC,DISTRICT OF COLUMBIA,0.916666667,176,16
FL,FLORIDA,0.914700544,504,47
GA,GEORGIA,0.9453125,242,14
GU,GUAM,1,2,0
HI,HAWAII,0.823529412,28,6
ID,IDAHO,0.966666667,29,1
IL,ILLINOIS,0.912912913,304,29
IN,INDIANA,0.957070707,379,17
IA,IOWA,0.854545455,47,8
KS,KANSAS,0.98,49,1
KY,KENTUCKY,0.904255319,85,9
LA,LOUISIANA,0.93081761,148,11
ME,MAINE,0.984375,63,1
MD,MARYLAND,0.953846154,186,9
MA,MASSACHUSETTS,0.866920152,228,35
MI,MICHIGAN,0.926282051,289,23
MN,MINNESOTA,0.882352941,75,10
MS,MISSISSIPPI,0.909090909,40,4
MO,MISSOURI,0.957894737,91,4
MT,MONTANA,0.954545455,21,1
NE,NEBRASKA,0.9375,30,2
NV,NEVADA,0.876712329,64,9
NH,NEW HAMPSHIRE,0.872727273,48,7
NJ,NEW JERSEY,0.92244898,226,19
NM,NEW MEXICO,0.970588235,33,1
NY,NEW YORK,0.925139665,828,67
NC,NORTH CAROLINA,0.938356164,274,18
ND,NORTH DAKOTA,1,5,0
MP,NORTHERN MARIANA ISLANDS,0,0,1
OH,OHIO,0.91954023,320,28
OK,OKLAHOMA,0.96875,62,2
OR,OREGON,0.908496732,139,14
PA,PENNSYLVANIA,0.906906907,302,31
PR,PUERTO RICO,0.96969697,32,1
RI,RHODE ISLAND,0.970588235,33,1
SC,SOUTH CAROLINA,0.962962963,104,4
SD,SOUTH DAKOTA,1,5,0
TN,TENNESSEE,0.88590604,132,17
TX,TEXAS,0.944983819,876,51
UT,UTAH,0.97826087,45,1
VT,VERMONT,0.95,19,1
VA,VIRGINIA,0.929824561,212,16
WA,WASHINGTON,0.898550725,186,21
WV,WEST VIRGINIA,0.923076923,36,3
WI,WISCONSIN,0.962264151,102,4
WY,WYOMING,0.916666667,11,1
